take_profit,stop_loss,timeout,expectancy_conservative,expectancy_midpoint,expectancy_optimistic,p_tp_first,p_sl_first,p_same_day,p_timeout,cost_bps
0.05,-0.17,29,0.025040635817131396,0.02510038471058488,0.025160133604038355,0.6423422526002673,0.03520080949357888,0.0005431717586680259,0.3219137661474858,10.0
0.06,-0.18,26,0.02469749028939656,0.02476301525337203,0.024828540217347504,0.5069348746882083,0.025668415255181834,0.0005460413664622545,0.4668506686901477,10.0
0.04,-0.19,26,0.024683055043854256,0.024693906775683793,0.024704758507513334,0.7005544170763862,0.0122168036366373,9.436288547423994e-05,0.2871344164015023,10.0
0.04,-0.2,26,0.0246419238177553,0.024725477864839748,0.024809031911924195,0.7006917661459432,0.011232450414708411,0.0006962837257037277,0.28737949971364474,10.0
0.06,-0.19,27,0.024535476429510622,0.02458063222676974,0.024625788024028854,0.5094298327063466,0.026114088005454273,0.0003612463780729347,0.4640948329101264,10.0
0.06,-0.19,28,0.024535476429510622,0.02458063222676974,0.024625788024028854,0.5094298327063466,0.026114088005454273,0.0003612463780729347,0.4640948329101264,10.0
0.06,-0.2,27,0.024373339429068396,0.02438605920895869,0.024398778988848985,0.5098245109501659,0.025982811679013222,9.78444606945599e-05,0.4640948329101263,10.0
0.06,-0.2,28,0.024373339429068396,0.02438605920895869,0.024398778988848985,0.5098245109501659,0.025982811679013222,9.78444606945599e-05,0.4640948329101263,10.0
0.08,-0.19,30,0.024329219824361627,0.024380270201773944,0.024431320579186264,0.40174391822355654,0.03546549975895713,0.00037815094379495154,0.5624124310736914,10.0
0.06,-0.15,29,0.02424127845436718,0.024661344708171436,0.02508141096197569,0.6088993562279208,0.07128392180677515,0.0040006309886119725,0.3158160909766921,10.0
0.06,-0.18,27,0.02420143984899272,0.024266964812968188,0.02433248977694366,0.5069348746882083,0.028424251035203175,0.0005460413664622545,0.4640948329101263,10.0
0.06,-0.18,28,0.02420143984899272,0.024266964812968188,0.02433248977694366,0.5069348746882083,0.028424251035203175,0.0005460413664622545,0.4640948329101263,10.0
0.08,-0.2,30,0.02400709912686671,0.024053778991672277,0.024100458856477845,0.40187361754331585,0.035380523777238736,0.0003334276057540705,0.5624124310736914,10.0
0.05,-0.17,27,0.023803700933055442,0.023861839600730957,0.023919978268406472,0.6169234690845822,0.03501542266439924,0.0005285333425046811,0.3475325749085139,10.0
0.05,-0.17,28,0.023803700933055442,0.023861839600730957,0.023919978268406472,0.6169234690845822,0.03501542266439924,0.0005285333425046811,0.3475325749085139,10.0
0.05,-0.19,21,0.02369850104803802,0.02371149745404507,0.023724493860052123,0.5335348467133422,0.010303492867287316,0.00010830338339210891,0.4560533570359785,10.0
0.05,-0.19,24,0.0236770511120048,0.023693828704531947,0.023710606297059098,0.5425316937801681,0.01275246871316993,0.00013981327105956268,0.4445760242356024,10.0
0.05,-0.19,25,0.0236770511120048,0.023693828704531947,0.023710606297059098,0.5425316937801681,0.01275246871316993,0.00013981327105956268,0.4445760242356024,10.0
0.05,-0.2,24,0.023642783866867266,0.023677538657209635,0.023712293447552005,0.5426067421197682,0.012159727872866769,0.0002780383227389553,0.4449554916846261,10.0
0.05,-0.2,25,0.023642783866867266,0.023677538657209635,0.023712293447552005,0.5426067421197682,0.012159727872866769,0.0002780383227389553,0.4449554916846261,10.0
0.05,-0.2,21,0.023611225357834748,0.02364300131851693,0.023674777279199113,0.5336022158025563,0.010090219476007876,0.00025420768545747333,0.4560533570359785,10.0
0.04,-0.18,26,0.023560057477102134,0.02357011968534273,0.023580181893583328,0.6990880639574305,0.01881666471960364,9.147462036905573e-05,0.28200379670259684,10.0
0.05,-0.19,22,0.023553784442185106,0.023566780848192158,0.02357977725419921,0.5335348467133422,0.011065159213881593,0.00010830338339210891,0.4552916906893842,10.0
0.05,-0.19,23,0.023529035134319497,0.02354203154032655,0.0235550279463336,0.5335348467133422,0.01119541872896373,0.00010830338339210891,0.455161431174302,10.0
0.04,-0.16,30,0.023528631170952784,0.023601390452519567,0.023674149734086346,0.7784064365016055,0.040570071491278635,0.0007275928156678349,0.18029589919144812,10.0
0.05,-0.2,22,0.02345889208851589,0.023490668049198075,0.02352244400988026,0.5336022158025563,0.010851885822602153,0.00025420768545747333,0.4552916906893842,10.0
0.05,-0.2,23,0.023432840185499463,0.023464616146181647,0.02349639210686383,0.5336022158025563,0.01098214533768429,0.00025420768545747333,0.455161431174302,10.0
